ID,Area(px2),Perimetro(px),DiametroEquivalente(px),Eccentricidad,Solidity
615,32.00,19.80,6.38,0.9292,0.8000
616,18.00,14.14,4.79,0.7071,1.0000
617,58.00,37.73,8.59,0.9102,0.6905
618,18.00,14.14,4.79,0.7071,1.0000
619,65.00,37.94,9.10,0.9426,0.8228
620,13.00,11.31,4.07,0.0000,1.0000
621,18.00,14.14,4.79,0.7071,1.0000
622,75.00,45.01,9.77,0.9481,0.7576
623,13.00,11.31,4.07,0.0000,1.0000
624,98.00,39.94,11.17,0.8202,0.9245
625,13.00,11.31,4.07,0.0000,1.0000
626,61.00,37.94,8.81,0.8067,0.7093
627,21.00,14.73,5.17,0.5216,1.0000
628,30.00,18.97,6.18,0.8052,1.0000
629,21.00,14.73,5.17,0.5216,1.0000
630,40.00,24.63,7.14,0.7633,0.8889
631,18.00,14.14,4.79,0.7071,1.0000
632,41.00,21.97,7.23,0.9402,0.7321
633,50.00,32.91,7.98,0.9050,0.7812
634,24.00,16.14,5.53,0.6725,1.0000
635,25.00,19.80,5.64,0.8876,0.7576
636,18.00,14.14,4.79,0.7071,1.0000
637,18.00,13.31,4.79,0.3974,1.0000
638,13.00,11.31,4.07,0.0000,1.0000
639,77.00,46.18,9.90,0.9543,0.6638
640,13.00,11.31,4.07,0.0000,1.0000
641,21.00,14.73,5.17,0.5216,1.0000
642,33.00,19.56,6.48,0.7399,0.9706
643,29.00,18.97,6.08,0.6010,0.9667
644,49.00,28.87,7.90,0.8048,0.8750
645,13.00,11.31,4.07,0.0000,1.0000
646,41.00,24.63,7.23,0.6591,0.8913
647,60.00,33.70,8.74,0.8487,0.8108
648,34.00,20.56,6.58,0.4996,0.9189
649,13.00,11.31,4.07,0.0000,1.0000
650,13.00,11.31,4.07,0.0000,1.0000
651,46.00,27.21,7.65,0.8822,0.8846
652,13.00,11.31,4.07,0.0000,1.0000
653,13.00,11.31,4.07,0.0000,1.0000
654,18.00,14.14,4.79,0.7071,1.0000
655,27.00,16.73,5.86,0.5281,1.0000
656,13.00,11.31,4.07,0.0000,1.0000
657,13.00,11.31,4.07,0.0000,1.0000
658,13.00,11.31,4.07,0.0000,1.0000
659,13.00,11.31,4.07,0.0000,1.0000
660,41.00,31.87,7.23,0.9444,0.7193
661,18.00,14.14,4.79,0.7071,1.0000
662,28.00,18.97,5.97,0.6484,0.9333
663,13.00,11.31,4.07,0.0000,1.0000
664,55.00,29.21,8.37,0.9376,0.7333
665,18.00,13.31,4.79,0.3974,1.0000
666,13.00,11.31,4.07,0.0000,1.0000
667,193.00,102.51,15.68,0.9248,0.4825
668,13.00,11.31,4.07,0.0000,1.0000
669,13.00,11.31,4.07,0.0000,1.0000
